company_code,ticker_symbol,company_name,market,shariah_board,sector,subsector,classification,timestamp
4262,4262,شركة لومي للتأجير,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899562
4263,4263,شركة سال السعودية للخدمات اللوجستية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899578
4261,4261,شركة ذيب لتأجير السيارات,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899594
4031,4031,الشركة السعودية للخدمات الأرضية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899611
4030,4030,الشركة الوطنية السعودية للنقل البحري,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899627
4040,4040,الشركة السعودية للنقل الجماعي,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899643
4110,4110,شركة باتك للإستثمار والأعمال اللوجستية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899660
4260,4260,الشركة المتحدة الدولية للمواصلات,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899677
1831,1831,شركة مهارة للموارد البشرية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899693
4070,4070,شركة تهامة للإعلان والعلاقات العامة,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899710
4270,4270,الشركة السعودية للطباعة والتغليف,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899726
4210,4210,المجموعة السعودية للأبحاث والإعلام,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899743
4071,4071,الشركة العربية للتعهدات الفنية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899759
1810,1810,مجموعة سيرا القابضة,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899776
4170,4170,شركة المشروعات السياحية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899794
1820,1820,شركة مجموعة بان القابضة,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899810
1832,1832,شركة صدر للخدمات اللوجستية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899826
4345,4345,صندوق الإنماء ريت لقطاع التجزئة,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899843
4347,4347,صندوق بنيان ريت,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899859
4346,4346,صندوق ميفك ريت,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899875
4348,4348,صندوق الخبير ريت,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899891
4337,4337,صندوق سيكو السعودية ريت,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899908
4339,4339,صندوق دراية ريت,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899925
4340,4340,صندوق الراجحي ريت,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899941
4342,4342,صندوق جدوى ريت السعودية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899957
4344,4344,صندوق سدكو كابيتال ريت,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899974
4330,4330,الرياض ريت,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.899990
4331,4331,صندوق الجزيرة ريت,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.900006
4332,4332,صندوق جدوى ريت الحرمين,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.900022
4333,4333,صندوق تعليم ريت,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.900038
4334,4334,صندوق المعذر ريت,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.900055
4335,4335,صندوق مشاركة ريت,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.900071
4336,4336,صندوق ملكية - عقارات الخليج ريت,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.900087
4338,4338,صندوق الأهلي ريت 1,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.900104
4349,4349,صندوق الإنماء ريت الفندقي,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.900121
1183,1183,شركة سهل للتمويل,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.900137
4081,4081,شركة النايفات للتمويل,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.900154
